City,Country,Population,Area,country population,country area,country density,growth rate,2009 growth rate,2005-2010 growth rate,2010-2015 growth rate,2015-2020 growth rate
Muharraq,Bahrain,176500,57.5,1463265.0,785.0,1864.0,0.85,1.92,6.67,2.01,4.26
Riffa,Bahrain,176900,15.8,1463265.0,785.0,1864.0,0.85,1.92,6.67,2.01,4.26
Barisal,Bangladesh,328200,58.0,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Chittagong,Bangladesh,8440000,168.07,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Comilla,Bangladesh,296000,53.04,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Dhaka,Bangladesh,8906000,305.47,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Gazipur,Bangladesh,213000,329.23,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Khulna,Bangladesh,663300,64.78,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Mymensingh,Bangladesh,476300,91.315,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Narayanganj,Bangladesh,286300,33.57,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Rajshahi,Bangladesh,763900,120.98,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Rangpur,Bangladesh,407000,,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Bogra,Bangladesh,400983,71.56,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Sylhet,Bangladesh,526400,58.0,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Jashore,Bangladesh,237478,21.15,169356251.0,148460.0,1141.0,0.91,1.19,1.18,1.16,1.04
Babruysk,Belarus,215000,83.86,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Baranavichy,Belarus,179000,53.64,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Barysaw,Belarus,144900,45.97,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Brest,Belarus,362300,,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Gomel,Belarus,526800,139.77,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Grodno,Belarus,373500,142.11,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Lida,Belarus,102700,45.8,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Mazyr,Belarus,112300,44.1381,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Minsk,Belarus,2009700,409.53,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Mogilev,Belarus,374600,118.5,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Novopolotsk,Belarus,108000,48.49,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Orsha,Belarus,117200,38.9,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Pinsk,Belarus,136000,51.48,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Salihorsk,Belarus,106600,9.19,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Vitebsk,Belarus,366200,124.54,9578167.0,207600.0,46.0,-0.32,-0.1,-0.31,0.03,-0.15
Anderlecht,Belgium,118300,17.91,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Antwerpen,Belgium,523200,204.32,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Brugge,Belgium,118200,140.99,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Bruxelles,Belgium,1208500,162.4,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Charleroi,Belgium,201800,102.95,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Gent,Belgium,260300,,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Liège,Belgium,197300,68.65,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Namur,Belgium,110900,175.93,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Schaerbeek,Belgium,133000,7.9,11611419.0,30528.0,380.0,0.55,0.85,0.73,0.63,0.58
Cotonou,Benin,679000,79.0,12996895.0,114763.0,113.0,3.31,2.73,2.84,2.79,2.73
Parakou,Benin,255500,441.0,12996895.0,114763.0,113.0,3.31,2.73,2.84,2.79,2.73
Porto-Novo,Benin,264300,110.0,12996895.0,114763.0,113.0,3.31,2.73,2.84,2.79,2.73
Cochabamba,Bolivia,841200,170.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
El Alto,Bolivia,943500,363.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
La Paz,Bolivia,816000,472.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Montero,Bolivia,107200,,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Oruro,Bolivia,302600,1633.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Potosí,Bolivia,189600,118.218,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Quillacollo,Bolivia,117800,566.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Sacaba,Bolivia,169400,,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Santa Cruz,Bolivia,1867600,,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Sucre,Bolivia,259300,1768.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Tarija,Bolivia,247000,,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Trinidad,Bolivia,130600,4768.0,12079472.0,1098581.0,11.0,1.06,1.65,1.67,1.56,1.47
Banja Luka,Bosnia and Herzegovina,138900,1238.91,3270943.0,51209.0,64.0,-0.23,-0.14,-0.32,-1.03,-0.22
Sarajevo,Bosnia and Herzegovina,419900,141.5,3270943.0,51209.0,64.0,-0.23,-0.14,-0.32,-1.03,-0.22
Tuzla,Bosnia and Herzegovina,110900,294.0,3270943.0,51209.0,64.0,-0.23,-0.14,-0.32,-1.03,-0.22
Zenica,Bosnia and Herzegovina,107700,558.5,3270943.0,51209.0,64.0,-0.23,-0.14,-0.32,-1.03,-0.22
Gaborone,Botswana,273600,169.0,2588423.0,582000.0,4.0,1.37,0.86,1.64,1.84,1.79
Francistown,Botswana,100000,79.0,2588423.0,582000.0,4.0,1.37,0.86,1.64,1.84,1.79
Abaetetuba,Brazil,159000,430.9,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Abreu e Lima,Brazil,100300,126.193,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
